Nama Lengkap,Email,Role,Kelas/Mapel
Budi Kurniawan,budi.kurniawan@school.id,Teacher,Guru Matematika
Siti Aminah,siti.aminah@school.id,Teacher,Guru Bahasa Indonesia
Rudi Hermawan,rudi.hermawan@school.id,Teacher,Guru Fisika
Dewi Lestari,dewi.lestari@school.id,Teacher,Guru Biologi
Agus Prasetyo,agus.prasetyo@school.id,Teacher,Guru Kimia
Andi Wijaya,andi.wijaya@student.school.id,Student,Kelas X-IPA 1
Maya Putri,maya.putri@student.school.id,Student,Kelas X-IPA 2
Rian Saputra,rian.saputra@student.school.id,Student,Kelas XI-IPA 1
Nabila Zahra,nabila.zahra@student.school.id,Student,Kelas XI-IPA 2
Fajar Ramadhan,fajar.ramadhan@student.school.id,Student,Kelas XII-IPA 1
